S.No.,Year,Name,CTC,CTC_LPA,CSE,CSM,ECE,EEE,IT,MECH,CIVIL,Total
36,2022,ModelN Software,Internship 20 K per month & Employment Rs 8.5 Lakhs,8.5,1,0,10,0,1,0,0,12
37,2022,Salesforce,Rs.8.25 Lakhs p.a.,8.25,4,0,0,0,7,0,0,11
38,2022,Principal Global Services,Internship 30 K per month & Employment Rs 8.00 Lakhs p.a,8,13,0,2,0,3,0,0,18
39,2022,Prodapt Solutions,Internship 15 K per month & Employment Rs 8.00 Lakhs p.a,8,5,0,0,0,1,0,0,6
40,2022,ValueLabs,Internship 35 K per month & Employment Rs 8.00 Lakhs p.a,8,2,0,0,1,1,0,0,4
41,2022,Mars Global Services,Rs.7.85 Lakhs p.a.,7.85,0,0,0,2,0,0,0,2
42,2022,IBM India,Internship 30 K per month & Employment Rs 7.75 Lakhs p.a,7.75,1,0,0,0,0,0,0,1
43,2022,Deloitte Tax Technology,Rs.7.60 Lakhs p.a.,7.6,13,0,0,0,8,0,0,21
44,2022,Carl Zeiss India,Rs. 7.50 Lakhs p.a.,7.5,0,0,0,3,0,0,0,3
45,2022,TCS - Digital,Internship 15 K per month & Employment Rs 7.00 Lakhs p.a,7,34,0,13,0,22,4,0,73
46,2022,Outplay,Internship 25 K per month & Employment Rs 7.00 Lakhs p.a,7,2,0,0,0,9,0,0,11
47,2022,DeltaX,Internship 10 K per month & Employment Rs 7.00 Lakhs p.a,7,4,0,0,0,3,0,0,7
48,2022,Recruit CRM,Internship 15 K per month & Employment Rs 7.00 Lakhs p.a,7,2,0,0,0,2,0,0,4
49,2022,"Optival Health Solutions Pvt. Ltd., (Medplus)",Rs. 7.00 Lakhs p.a.,7,0,0,1,0,1,0,0,2
50,2022,TechnipFMC,Rs.6.91 Lakhs p.a.,6.91,0,0,0,0,0,4,0,4
51,2022,Shure Audio Technologies Private Limited,Rs. 6.75 Lakhs p.a.,6.75,1,0,1,0,0,0,0,2
52,2022,Accenture - Adv ASE,Rs.6.50 Lakhs p.a.,6.5,5,0,0,2,6,1,0,14
53,2022,"JSW Steel Ltd.,",Rs. 6.50 Lakhs p.a.,6.5,0,0,2,4,0,6,0,12
54,2022,Merilytics,Internship 20 K per month & Employment Rs 6.50 Lakhs p.a,6.5,6,0,1,0,0,0,0,7
55,2022,MindTree,Rs.6.50 Lakhs p.a.,6.5,2,0,0,0,2,1,0,5
56,2022,Infosys - Digital Specialist Engineer,Rs.6.25 Lakhs p.a.,6.25,2,0,0,0,1,0,0,3
57,2022,Prodapt Solutions,Internship 15 K per month & Employment Rs 6.00 Lakhs p.a,6,22,0,15,3,13,0,0,53
58,2022,Energy Tech Global,Internship 15 K per month & Employment Rs 6.00 Lakhs p.a,6,7,0,4,0,3,0,0,14
59,2022,Modak,Rs 6.00 Lakhs p.a,6,7,0,4,0,1,0,0,12
60,2022,TEKsystems Global Services,Internship 20 K per month & Employment Rs 6.00 Lakhs p.a,6,1,0,0,0,8,0,0,9
61,2022,Hexagon Capability Center India (HCCI),Rs.5.5 LPA + 60K benefits.,5.5,2,0,0,0,3,0,0,5
62,2022,Innova Solutions,Rs.6.00 Lakhs p.a.,6,1,0,1,3,4,0,0,9
63,2022,Hexaware Technologies,Rs.6.00 Lakhs p.a.,6,1,0,5,1,1,0,0,8
64,2022,SmartSoC Solutions,Internship 20 K per month & Employment Rs 6.00 Lakhs p.a,6,0,0,4,0,0,0,0,4
65,2022,Inncircles,Internship 20 K per month & Employment Rs 6.00 Lakhs p.a,6,0,0,0,0,0,0,2,2
66,2022,Reliance Retail,Rs.6.00 Lakhs p.a.,6,3,0,0,0,0,0,0,3
67,2022,Stellantis,Rs. 6.00 Lakhs p.a.,6,0,0,0,0,0,2,0,2
68,2022,Banyan Cloud,Internship 20 K per month & Employment Rs 5.50 to 6.00 Lakhs p.a,6,5,0,0,0,2,0,0,7
69,2022,Hyundai MOBIS India Limited,Rs.5.50 Lakhs p.a.,5.5,0,0,7,0,0,3,0,10
70,2022,Sagility Health,Internship 25 K per month & Employment Rs 5.50 Lakhs p.a,5.5,2,0,0,0,5,0,0,7
71,2022,MosChip Technologies Limited,Internship 30 K per month & Employment Rs 5.5 Lakhs,5.5,0,0,5,0,0,0,0,5
72,2022,United Online,Rs.5.25 Lakhs p.a.,5.25,0,0,1,1,0,0,0,2
73,2022,Brane Enterprises-NSL Hub - SaaS Vertical,Internship 20 K per month & Employment Rs 5.00 Lakhs p.a,5,2,0,5,0,4,3,0,14
74,2022,MindTree,Rs.5.00 Lakhs p.a.,5,5,0,8,0,1,0,0,14
75,2022,Pal Tech,Internship 20 K per month & Employment Rs 5.00 Lakhs p.a,5,1,0,3,2,1,0,0,7
76,2022,Aarvee Associates,Rs. 5.00 Lakhs p.a.,5,0,0,0,0,0,0,1,1
77,2022,Adjoint Technologies (P) Limited,Internship 15 K per month & Employment Rs 5.00 Lakhs p.a,5,1,0,0,0,0,0,0,1
78,2022,Virtusa India Pvt. Ltd.,Rs.5.00 Lakhs p.a.,5,0,0,1,0,0,0,0,1
79,2022,CloudAngles,Rs.5.00 Lakhs p.a.,5,0,0,1,0,0,0,0,1
80,2022,EY GDS,Rs.4.85 Lakhs p.a.,4.85,12,0,0,0,7,0,0,19
81,2022,Accenture,Rs.4.50 Lakhs p.a.,4.5,54,0,49,10,44,10,3,170
